Bee,Trial,Choice
1,1,0
1,2,0
1,3,0
1,4,1
1,5,0
1,6,0
1,7,0
1,8,0
1,9,1
1,10,0
1,11,0
1,12,0
1,13,1
1,14,0
1,15,1
1,16,1
1,17,1
1,18,0
1,19,1
1,20,1
1,21,0
1,22,1
1,23,1
1,24,0
1,25,1
1,26,0
1,27,1
1,28,1
1,29,1
1,30,0
1,31,1
1,32,1
1,33,0
1,34,1
1,35,0
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,0
1,43,1
1,44,1
1,45,1
1,46,1
1,47,0
1,48,1
1,49,0
1,50,1
1,51,0
1,52,0
1,53,0
1,54,1
1,55,1
1,56,1
1,57,0
1,58,1
1,59,0
1,60,1
1,61,0
1,62,1
1,63,1
1,64,1
1,65,1
1,66,0
1,67,1
1,68,1
1,69,1
1,70,0
1,71,1
1,72,1
1,73,0
1,74,1
1,75,1
1,76,1
1,77,1
1,78,0
1,79,0
1,80,1
1,81,0
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,0
1,96,0
1,97,1
1,98,1
1,99,1
1,100,1
2,1,1
2,2,1
2,3,0
2,4,0
2,5,1
2,6,0
2,7,0
2,8,0
2,9,0
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,0
2,16,1
2,17,0
2,18,0
2,19,1
2,20,1
2,21,1
2,22,0
2,23,1
2,24,0
2,25,0
2,26,1
2,27,1
2,28,0
2,29,1
2,30,1
2,31,1
2,32,0
2,33,1
2,34,0
2,35,1
2,36,1
2,37,1
2,38,0
2,39,0
2,40,1
2,41,1
2,42,0
2,43,1
2,44,1
2,45,1
2,46,0
2,47,0
2,48,1
2,49,1
2,50,1
2,51,1
2,52,0
2,53,0
2,54,0
2,55,0
2,56,1
2,57,0
2,58,1
2,59,1
2,60,1
2,61,0
2,62,1
2,63,1
2,64,0
2,65,1
2,66,0
2,67,1
2,68,0
2,69,1
2,70,1
2,71,0
2,72,1
2,73,1
2,74,0
2,75,0
2,76,1
2,77,0
2,78,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,1
2,86,0
2,87,1
2,88,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,0
2,94,0
2,95,1
2,96,0
2,97,1
2,98,1
2,99,1
2,100,1
3,1,1
3,2,0
3,3,0
3,4,1
3,5,1
3,6,0
3,7,1
3,8,1
3,9,1
3,10,0
3,11,1
3,12,1
3,13,1
3,14,0
3,15,1
3,16,0
3,17,1
3,18,0
3,19,1
3,20,1
3,21,1
3,22,0
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
3,31,1
3,32,0
3,33,0
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,0
3,41,1
3,42,1
3,43,1
3,44,1
3,45,1
3,46,1
3,47,1
3,48,1
3,49,1
3,50,1
3,51,1
3,52,1
3,53,0
3,54,1
3,55,1
3,56,1
3,57,1
3,58,1
3,59,1
3,60,1
3,61,1
3,62,0
3,63,0
3,64,0
3,65,1
3,66,1
3,67,1
3,68,0
3,69,1
3,70,0
3,71,1
3,72,1
3,73,0
3,74,1
3,75,1
3,76,0
3,77,1
3,78,1
3,79,1
3,80,1
3,81,1
3,82,1
3,83,1
3,84,1
3,85,1
3,86,1
3,87,1
3,88,1
3,89,1
3,90,1
3,91,1
3,92,1
3,93,1
3,94,1
3,95,1
3,96,1
3,97,1
3,98,0
3,99,1
3,100,1
4,1,1
4,2,0
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,0
4,9,1
4,10,1
4,11,1
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,1
4,18,1
4,19,0
4,20,1
4,21,1
4,22,1
4,23,0
4,24,1
4,25,1
4,26,1
4,27,0
4,28,0
4,29,0
4,30,1
4,31,1
4,32,1
4,33,0
4,34,0
4,35,0
4,36,0
4,37,1
4,38,1
4,39,0
4,40,1
4,41,1
4,42,1
4,43,0
4,44,0
4,45,1
4,46,0
4,47,1
4,48,1
4,49,1
4,50,1
4,51,1
4,52,1
4,53,0
4,54,1
4,55,1
4,56,1
4,57,0
4,58,1
4,59,1
4,60,1
4,61,1
4,62,0
4,63,1
4,64,1
4,65,0
4,66,0
4,67,1
4,68,1
4,69,1
4,70,1
4,71,1
4,72,1
4,73,0
4,74,1
4,75,1
4,76,1
4,77,0
4,78,1
4,79,1
4,80,1
4,81,0
4,82,1
4,83,1
4,84,0
4,85,1
4,86,1
4,87,0
4,88,1
4,89,1
4,90,0
4,91,1
4,92,1
4,93,1
4,94,0
4,95,1
4,96,1
4,97,1
4,98,1
4,99,0
4,100,1
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,1
5,7,0
5,8,1
5,9,0
5,10,0
5,11,0
5,12,1
5,13,0
5,14,0
5,15,1
5,16,0
5,17,1
5,18,1
5,19,1
5,20,0
5,21,1
5,22,0
5,23,0
5,24,0
5,25,1
5,26,1
5,27,1
5,28,1
5,29,0
5,30,0
5,31,1
5,32,0
5,33,1
5,34,1
5,35,0
5,36,0
5,37,0
5,38,1
5,39,0
5,40,1
5,41,1
5,42,1
5,43,0
5,44,1
5,45,1
5,46,1
5,47,1
5,48,1
5,49,1
5,50,1
5,51,1
5,52,1
5,53,1
5,54,1
5,55,1
5,56,0
5,57,0
5,58,0
5,59,0
5,60,1
5,61,0
5,62,1
5,63,1
5,64,1
5,65,1
5,66,1
5,67,1
5,68,1
5,69,1
5,70,0
5,71,1
5,72,1
5,73,1
5,74,1
5,75,0
5,76,1
5,77,1
5,78,1
5,79,0
5,80,1
5,81,1
5,82,0
5,83,1
5,84,1
5,85,1
5,86,0
5,87,1
5,88,1
5,89,1
5,90,1
5,91,1
5,92,1
5,93,1
5,94,0
5,95,1
5,96,0
5,97,1
5,98,1
5,99,1
5,100,1
6,1,0
6,2,0
6,3,0
6,4,1
6,5,1
6,6,0
6,7,1
6,8,0
6,9,1
6,10,1
6,11,1
6,12,0
6,13,1
6,14,0
6,15,1
6,16,1
6,17,0
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,0
6,24,0
6,25,1
6,26,1
6,27,1
6,28,1
6,29,0
6,30,1
6,31,0
6,32,1
6,33,1
6,34,0
6,35,0
6,36,1
6,37,0
6,38,1
6,39,1
6,40,1
6,41,1
6,42,0
6,43,1
6,44,0
6,45,1
6,46,1
6,47,1
6,48,1
6,49,1
6,50,1
6,51,1
6,52,1
6,53,0
6,54,1
6,55,1
6,56,1
6,57,0
6,58,1
6,59,1
6,60,0
6,61,0
6,62,0
6,63,1
6,64,0
6,65,1
6,66,1
6,67,1
6,68,1
6,69,1
6,70,1
6,71,1
6,72,1
6,73,1
6,74,0
6,75,0
6,76,0
6,77,1
6,78,1
6,79,1
6,80,1
6,81,1
6,82,1
6,83,1
6,84,1
6,85,1
6,86,1
6,87,1
6,88,1
6,89,1
6,90,1
6,91,1
6,92,1
6,93,1
6,94,1
6,95,1
6,96,1
6,97,1
6,98,1
6,99,0
6,100,1
7,1,0
7,2,1
7,3,1
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,1
7,10,0
7,11,0
7,12,1
7,13,0
7,14,0
7,15,0
7,16,1
7,17,0
7,18,0
7,19,0
7,20,0
7,21,1
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,1
7,28,1
7,29,1
7,30,1
7,31,1
7,32,0
7,33,0
7,34,1
7,35,1
7,36,0
7,37,1
7,38,1
7,39,1
7,40,0
7,41,1
7,42,0
7,43,1
7,44,0
7,45,0
7,46,0
7,47,1
7,48,1
7,49,1
7,50,0
7,51,1
7,52,1
7,53,1
7,54,0
7,55,0
7,56,0
7,57,1
7,58,1
7,59,1
7,60,1
7,61,1
7,62,0
7,63,0
7,64,1
7,65,1
7,66,1
7,67,1
7,68,1
7,69,0
7,70,0
7,71,1
7,72,1
7,73,0
7,74,1
7,75,1
7,76,1
7,77,0
7,78,1
7,79,1
7,80,1
7,81,0
7,82,1
7,83,1
7,84,0
7,85,1
7,86,0
7,87,1
7,88,0
7,89,1
7,90,0
7,91,1
7,92,1
7,93,1
7,94,1
7,95,1
7,96,1
7,97,0
7,98,1
7,99,1
7,100,1
8,1,0
8,2,0
8,3,1
8,4,1
8,5,1
8,6,0
8,7,1
8,8,0
8,9,0
8,10,1
8,11,1
8,12,1
8,13,0
8,14,0
8,15,1
8,16,0
8,17,1
8,18,0
8,19,1
8,20,0
8,21,0
8,22,1
8,23,0
8,24,1
8,25,1
8,26,1
8,27,1
8,28,0
8,29,0
8,30,1
8,31,1
8,32,0
8,33,1
8,34,1
8,35,1
8,36,0
8,37,1
8,38,0
8,39,1
8,40,1
8,41,0
8,42,1
8,43,1
8,44,0
8,45,1
8,46,1
8,47,1
8,48,1
8,49,1
8,50,1
8,51,1
8,52,1
8,53,1
8,54,1
8,55,1
8,56,1
8,57,0
8,58,1
8,59,1
8,60,1
8,61,1
8,62,1
8,63,1
8,64,1
8,65,1
8,66,1
8,67,1
8,68,1
8,69,0
8,70,1
8,71,1
8,72,1
8,73,1
8,74,0
8,75,1
8,76,0
8,77,1
8,78,0
8,79,1
8,80,1
8,81,0
8,82,1
8,83,1
8,84,1
8,85,0
8,86,1
8,87,1
8,88,1
8,89,1
8,90,0
8,91,1
8,92,0
8,93,1
8,94,1
8,95,1
8,96,1
8,97,1
8,98,1
8,99,1
8,100,1
9,1,1
9,2,1
9,3,1
9,4,0
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,0
9,12,1
9,13,1
9,14,1
9,15,1
9,16,1
9,17,0
9,18,1
9,19,0
9,20,0
9,21,0
9,22,1
9,23,0
9,24,0
9,25,1
9,26,1
9,27,0
9,28,0
9,29,0
9,30,1
9,31,1
9,32,0
9,33,1
9,34,0
9,35,1
9,36,0
9,37,1
9,38,1
9,39,1
9,40,0
9,41,0
9,42,1
9,43,0
9,44,1
9,45,0
9,46,0
9,47,1
9,48,0
9,49,1
9,50,0
9,51,0
9,52,0
9,53,1
9,54,0
9,55,0
9,56,0
9,57,0
9,58,1
9,59,0
9,60,0
9,61,0
9,62,0
9,63,1
9,64,1
9,65,1
9,66,1
9,67,1
9,68,1
9,69,0
9,70,1
9,71,0
9,72,1
9,73,0
9,74,1
9,75,1
9,76,1
9,77,0
9,78,1
9,79,0
9,80,1
9,81,1
9,82,0
9,83,1
9,84,1
9,85,1
